Lubię wykonywać działania matematyczne;Inteligencja logiczno-matematyczna
Dużo zapamiętuję z wykładów i wypowiedzi innych ludzi;Inteligencja lingwistyczna
Uwielbiam słuchać muzyki – właściwie chciałbym ciągle to robić.;Inteligencja muzyczna
Wolę przebywać w grupie niż w samotności.;Inteligencja interpersonalna
Lubię wykonywać prace wymagające dużej precyzji ruchów.;Inteligencja fizyczno-kinestetyczna
Opieka nad zwierzętami sprawia mi przyjemność.;Inteligencja przyrodnicza
Lubię uczyć się w ciszy i spokoju.;Inteligencja intrapersonalna
Mam dobry refleks.;Inteligencja fizyczno-kinestetyczna
Z łatwością przyswajam wiedzę w formie graficznej (tabela, schemat, wykres);Inteligencja wizualno-przestrzenna
Potrafię długo i ciekawie opowiadać.;Inteligencja lingwistyczna
Muzyka wytwarza we mnie wiele emocji;Inteligencja muzyczna
Wiem, co jest dla mnie ważne i próbuję to osiągnąć.;Inteligencja intrapersonalna
W wolnych chwilach sięgam po książkę;Inteligencja lingwistyczna
Ucząc się często chodzę lub bawię się przedmiotami.;Inteligencja fizyczno-kinestetyczna
Łatwo przekonuję innych do własnych racji, swojego zdania.;Inteligencja lingwistyczna
Praca w grupie sprawia mi przyjemność.;Inteligencja interpersonalna
Interesuję się sprawami związanymi z ochroną środowiska.;Inteligencja przyrodnicza
Lubię przedmioty ścisłe.;Inteligencja logiczno-matematyczna
Lubię dekorować przestrzeń, przedmioty;Inteligencja wizualno-przestrzenna
Często zastanawiam się nad motywami działania innych ludzi.;Inteligencja intrapersonalna
Jestem uzdolniony manualnie.;Inteligencja fizyczno-kinestetyczna
Uważam, że ścieżka dźwiękowa jest bardzo ważnym elementem filmu;Inteligencja muzyczna
Lubię analizować swoje stany emocjonalne.;Inteligencja intrapersonalna
Lubię i potrafię planować swój czas.;Inteligencja logiczno-matematyczna
Łatwo nawiązuję nowe znajomości;Inteligencja interpersonalna
Oglądając telewizję wybieram programy przyrodnicze.;Inteligencja przyrodnicza
Chętnie rozwiązuję zagadki logiczne.;Inteligencja logiczno-matematyczna
Moje wyobrażenia są bardzo plastyczne.;Inteligencja wizualno-przestrzenna
Potrafię godzić ludzi, mediować w sporach i kłótniach;Inteligencja interpersonalna
Bardzo lubię śpiewać;Inteligencja muzyczna
Interesują mnie zjawiska zachodzące w przyrodzie;Inteligencja przyrodnicza
Znajomi często mi mówią, że nie potrafię usiedzieć na miejscu.;Inteligencja fizyczno-kinestetyczna
Łatwo zapamiętuję szczegóły obrazów;Inteligencja wizualno-przestrzenna
Szukam związków między zagadnieniami, przedmiotami.;Inteligencja logiczno-matematyczna
Uważam, że ludzie są fascynujący i lubię z nimi przebywać.;Inteligencja interpersonalna
Lubię krzyżówki, rymowanki i inne zabawy słowne.;Inteligencja lingwistyczna
Dostrzegam i zapamiętuję znacznie więcej szczegółów niż inni ludzie;Inteligencja wizualno-przestrzenna
Chętnie zgłębiam wiedzę z biologii, geografii, meteorologii.;Inteligencja przyrodnicza
Z łatwością zapamiętuję słowa piosenek i rymowanek;Inteligencja muzyczna
Analizuję własne błędy i wyciągam z nich wnioski na przyszłość.;Inteligencja intrapersonalna